Locality,MinPrice,MaxPrice,AvgRent,HouseType
Basapura,4000,nan,4000,1BHK
Basapura,15000,nan,15000,2BHK
Basapura,14000,21300,18075,3BHK
Gubbalala Main Road,nan,nan,-,1BHK
Gubbalala Main Road,nan,nan,-,2BHK
Gubbalala Main Road,nan,nan,-,3BHK
judicial layout,nan,nan,-,1BHK
judicial layout,15000,23000,18000,2BHK
judicial layout,25000,nan,25000,3BHK
Ramasandra,6500,nan,6500,1BHK
Ramasandra,7000,nan,7000,2BHK
Ramasandra,nan,nan,-,3BHK
Kurubarahalli on Magadi Road,nan,nan,-,1BHK
Kurubarahalli on Magadi Road,7500,nan,7500,2BHK
Kurubarahalli on Magadi Road,nan,nan,-,3BHK
Bettadasapura,5000,7500,6125,1BHK
Bettadasapura,11000,12000,11500,2BHK
Bettadasapura,nan,nan,-,3BHK
Tumkur Road,nan,nan,-,1BHK
Tumkur Road,19500,nan,19500,2BHK
Tumkur Road,32000,nan,32000,3BHK
Ganganagar,25000,nan,25000,1BHK
Ganganagar,10000,nan,10000,2BHK
Ganganagar,26000,28000,27000,3BHK
K Channasandra,6000,nan,6000,1BHK
K Channasandra,8500,13000,10750,2BHK
K Channasandra,17000,nan,17000,3BHK
SMV Layout,9500,nan,9500,1BHK
SMV Layout,7000,11000,9000,2BHK
SMV Layout,18000,nan,18000,3BHK
Andrahalli,3200,50000,18300,1BHK
Andrahalli,8500,13500,11000,2BHK
Andrahalli,nan,nan,-,3BHK
Doddabommasandra,5000,nan,5000,1BHK
Doddabommasandra,10000,15000,13600,2BHK
Doddabommasandra,nan,nan,-,3BHK
Electronics City Phase 1 Doddathoguru,nan,nan,-,1BHK
Electronics City Phase 1 Doddathoguru,10450,nan,10450,2BHK
Electronics City Phase 1 Doddathoguru,nan,nan,-,3BHK
Halanayakanahalli,10000,nan,10000,1BHK
Halanayakanahalli,10000,20000,14250,2BHK
Halanayakanahalli,nan,nan,-,3BHK
Jalahalli East,7000,nan,7000,1BHK
Jalahalli East,12500,16000,14500,2BHK
Jalahalli East,24000,nan,24000,3BHK
Kammmanhalli,9000,nan,9000,1BHK
Kammmanhalli,14000,nan,14000,2BHK
Kammmanhalli,22000,25000,23500,3BHK
Devinagar,8000,8500,8250,1BHK
Devinagar,10000,nan,10000,2BHK
Devinagar,24000,nan,24000,3BHK
Kadubeesanahalli,8500,13000,10760,1BHK
Kadubeesanahalli,22000,nan,22000,2BHK
Kadubeesanahalli,24000,nan,24000,3BHK
Ramohalli,nan,nan,-,1BHK
Ramohalli,nan,nan,-,2BHK
Ramohalli,nan,nan,-,3BHK
Bharat Nagar,7500,8000,7833.33,1BHK
Bharat Nagar,11000,nan,11000,2BHK
Bharat Nagar,nan,nan,-,3BHK
Doddakammanahalli,5000,nan,5000,1BHK
Doddakammanahalli,11000,13500,12250,2BHK
Doddakammanahalli,15000,22050,18525,3BHK
Huskuru,nan,nan,-,1BHK
Huskuru,nan,nan,-,2BHK
Huskuru,nan,nan,-,3BHK
Cheemasandra,3000,6000,4500,1BHK
Cheemasandra,10000,nan,10000,2BHK
Cheemasandra,nan,nan,-,3BHK
Dooravani Nagar,8000,nan,8000,1BHK
Dooravani Nagar,7500,14000,10750,2BHK
Dooravani Nagar,13000,16550,14775,3BHK
Sai Baba Ashram,8000,nan,8000,1BHK
Sai Baba Ashram,16000,23000,19500,2BHK
Sai Baba Ashram,16000,35000,26142.86,3BHK
Kvalasanahalli,7000,nan,7000,1BHK
Kvalasanahalli,15700,30000,24315.38,2BHK
Kvalasanahalli,30000,40000,37857.14,3BHK
Sompura,nan,nan,-,1BHK
Sompura,nan,nan,-,2BHK
