Locality,MinPrice,MaxPrice,AvgRent,HouseType
HSR Layout,5000,"19,300","12,647.22",1BHK
HSR Layout,12000,"40,000","20,455.28",2BHK
HSR Layout,18000,"85,000","42,83.33",3BHK
Whitefield,4500,"20,000","10,76.46",1BHK
Whitefield,7500,"50,000","18,433.77",2BHK
Whitefield,20000,"29,800","25,66.67",3BHK
Krishnarajapura,3000,"10,900","7,466.96",1BHK
Krishnarajapura,5200,4.5 L,"17,666.71",2BHK
Krishnarajapura,12000,"34,400","21,350",3BHK
Sarjapur,5000,nan,"5,000",1BHK
Sarjapur,10500,"12,000","11,250",2BHK
Sarjapur,16500,nan,"16,500",3BHK
Whitefield Hope Farm Junction,11000,"12,000","11,375",1BHK
Whitefield Hope Farm Junction,7000,nan,"7,000",2BHK
Whitefield Hope Farm Junction,38000,nan,"38,000",3BHK
Begur,3000,"12,950","8,409.38",1BHK
Begur,7000,"17,000","12,300",2BHK
Begur,19000,"25,000","21,692.5",3BHK
Thanisandra,5500,"13,600","9,933.33",1BHK
Thanisandra,8000,"16,000","12,571.43",2BHK
Thanisandra,17000,"24,700","19,425",3BHK
Yelahanka,5000,"10,000","7,412.5",1BHK
Yelahanka,8500,"20,000","11,642.86",2BHK
Yelahanka,20000,"25,000","22,500",3BHK
Varthur,3500,"13,000","7,528.57",1BHK
Varthur,7500,"20,000","11,464.58",2BHK
Varthur,20000,"26,250","23,666.67",3BHK
Electronic City Phase 1,8500,"9,000","8,750",1BHK
Electronic City Phase 1,22000,nan,"22,000",2BHK
Electronic City Phase 1,43000,"50,000","46,500",3BHK
Electronics City,4000,"12,100","8,710.17",1BHK
Electronics City,8100,"19,000","12,135.29",2BHK
Electronics City,16000,"37,000","27,560",3BHK
Devanahalli,6999,nan,"6,999",1BHK
Devanahalli,30000,nan,"30,000",2BHK
Devanahalli,30000,nan,"30,000",3BHK
Marsur,7500,nan,"7,500",1BHK
Marsur,9000,"10,000","9,500",2BHK
Marsur,20000,nan,"20,000",3BHK
BTM Layout,4000,"17,000","9,669.28",1BHK
BTM Layout,8000,"30,000","15,974.1",2BHK
BTM Layout,19000,"37,000","28,000",3BHK
Chandapura,4500,"7,300","6,060",1BHK
Chandapura,7000,"12,000","9,166.67",2BHK
Chandapura,16000,nan,"16,000",3BHK
Koramangala,3500,"25,000","11,340",1BHK
Koramangala,12000,"50,000","22,283.33",2BHK
Koramangala,23000,1.5 L,"61,800",3BHK
Bellandur,7000,"18,000","11,407.69",1BHK
Bellandur,10500,"30,000","21,685.71",2BHK
Bellandur,1 L,nan,"1,00,000",3BHK
Marathahalli,5000,"15,500","8,961.54",1BHK
Marathahalli,8000,"25,200","15,920",2BHK
Marathahalli,12000,"30,000","24,250",3BHK
Indira Nagar,6000,"22,000","12,704.23",1BHK
Indira Nagar,12000,"45,000","21,185.76",2BHK
Indira Nagar,24000,"75,000","44,529.41",3BHK
Chandapura Anekal Road,nan,nan,-,1BHK
Chandapura Anekal Road,11000,nan,"11,000",2BHK
Chandapura Anekal Road,nan,nan,-,3BHK
J. P. Nagar,3300,"20,000","9,482.02",1BHK
J. P. Nagar,9000,"29,000","16,971.28",2BHK
J. P. Nagar,14000,"54,000","28,481.48",3BHK
